x_meters,y_meters
-7.166521871837878166e+01,-6.257048489767768018e+01
-7.134827295756925025e+01,-6.295688898305025560e+01
-7.102820361198159560e+01,-6.334083406413747497e+01
-7.068724002473280166e+01,-6.370591464313798724e+01
-7.033308726631071295e+01,-6.405846729577115184e+01
-6.997045169534874276e+01,-6.440208742461796021e+01
-6.959533568334123288e+01,-6.473288986962246838e+01
-6.919125935555663887e+01,-6.502661367353753974e+01
-6.878749513777248126e+01,-6.532011966681687909e+01
-6.836054590333924352e+01,-6.558044896150649095e+01
-6.791522266047549294e+01,-6.580588695284460243e+01
-6.745367347240028266e+01,-6.599790556081559600e+01
-6.698621792332957625e+01,-6.617360055355710813e+01
-6.650476453059141591e+01,-6.630829407115376739e+01
-6.602204928995102762e+01,-6.643691923199995131e+01
-6.553735110164519995e+01,-6.655912438374477347e+01
-6.504394289272570973e+01,-6.663678859589400361e+01
-6.454764225785412179e+01,-6.669490393047146881e+01
-6.405059095152292059e+01,-6.673509413176034855e+01
-6.355007961044958620e+01,-6.673118568929920968e+01
-6.305167208100323961e+01,-6.670855003233924663e+01
-6.255581456908744542e+01,-6.664617937113605706e+01
-6.206116664929807314e+01,-6.657550374590752540e+01
-6.157567126644881483e+01,-6.645705761539349510e+01
-6.109298123109893197e+01,-6.632902244041542872e+01
-6.061359415030433695e+01,-6.618672523548642062e+01
-6.014423044454007794e+01,-6.601677961913534887e+01
-5.968009288850920058e+01,-6.583144127968009229e+01
-5.922637316263256935e+01,-6.562225340627007597e+01
-5.879490131389957952e+01,-6.537093395674536112e+01
-5.837436114662358477e+01,-6.510034123627109182e+01
-5.797772883081624684e+01,-6.479697263885479686e+01
-5.757356840073690307e+01,-6.450313535325751957e+01
-5.717726889489318154e+01,-6.419876708099482698e+01
-5.677050871420038902e+01,-6.390864268085440614e+01
-5.636154541075001845e+01,-6.362145842971367671e+01
-5.594941037413588703e+01,-6.333890370677390536e+01
-5.553960885884110610e+01,-6.305295790652827748e+01
-5.513071194972760480e+01,-6.276571769137534318e+01
-5.472296240244469345e+01,-6.247679936437076975e+01
-5.431840716810280867e+01,-6.218376599933451843e+01
-5.392306001982679931e+01,-6.187849238942234820e+01
-5.351238715987026495e+01,-6.159352499962382410e+01
